year,exra,nao,location,code,elevation,climate.region,N,E
1981,43.3,-0.55,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1982,38.1,2.63,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1983,49.2,0.38,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1984,56,2.17,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1985,62.8,-3.09,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1986,49.3,3.14,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1987,60.7,-3.01,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1988,60.2,-0.13,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1989,30.8,2.38,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1990,44.3,3.88,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1991,73.3,1.14,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1992,41.9,2.54,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1993,43.6,1.71,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1994,32.2,2.86,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1995,44.2,-1.11,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1996,33.2,-1.98,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1997,39.4,-0.93,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1998,53.9,1.03,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1999,50.1,2.25,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2000,54.5,1.18,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2001,42.2,-1.91,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2002,58.8,1,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2003,46.2,-0.09,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2004,39.4,0.7,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2005,33.1,-1.35,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2006,49.1,-0.2,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2007,34.6,1.35,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2008,41.4,1.72,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2009,44,0.72,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2010,39.1,-5.96,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2011,31.4,2.95,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2012,47.7,-0.25,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2013,41.2,0.9,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2014,43.3,2.97,Chur,CHU,556,Northern and central Grisons,46.87,9.53
2015,29.9,4.09,Chur,CHU,556,Northern and central Grisons,46.87,9.53
1982,127.5,2.63,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1983,164.3,0.38,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1984,124.7,2.17,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1985,91.8,-3.09,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1986,84.1,3.14,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1987,139.4,-3.01,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1988,154.7,-0.13,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1989,65.9,2.38,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1990,94.1,3.88,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1991,173.1,1.14,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1992,76.9,2.54,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1993,122.4,1.71,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1994,102.7,2.86,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1995,68.2,-1.11,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1996,89.2,-1.98,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1997,115.1,-0.93,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1998,118.8,1.03,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1999,100,2.25,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2000,60.4,1.18,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2001,61.4,-1.91,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2002,118,1,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2003,88.4,-0.09,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2004,112.4,0.7,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2005,83.5,-1.35,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2006,121.4,-0.2,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2007,60.8,1.35,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2008,75.1,1.72,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2009,112.4,0.72,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2010,71.8,-5.96,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2011,101.2,2.95,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2012,58.4,-0.25,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2013,130.2,0.9,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2014,119.8,2.97,Cimetta,CIM,1661,Alpine south side,46.2,8.79
2015,98,4.09,Cimetta,CIM,1661,Alpine south side,46.2,8.79
1988,81,-0.13,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
1989,56.7,2.38,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
1990,65.1,3.88,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
1991,72.8,1.14,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
1992,72.2,2.54,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
1993,99,1.71,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
1994,93.4,2.86,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
1995,48.1,-1.11,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
1996,59.7,-1.98,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
1997,60.3,-0.93,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
1998,70,1.03,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
1999,66.3,2.25,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2000,51.9,1.18,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2001,89.7,-1.91,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2002,87.1,1,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2003,166.9,-0.09,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2004,82.4,0.7,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2005,43.5,-1.35,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2006,56.8,-0.2,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2007,46.1,1.35,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2008,78.5,1.72,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2009,95.6,0.72,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2010,54.6,-5.96,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2011,101.8,2.95,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2012,82.1,-0.25,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2013,67.9,0.9,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2014,89.6,2.97,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
2015,88.3,4.09,Acquarossa.Comprovasco,COM,575,Alpine south side,46.46,8.94
1981,34,-0.55,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1982,33.4,2.63,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1983,30.2,0.38,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1984,35.2,2.17,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1985,53.6,-3.09,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1986,33.8,3.14,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1987,30.1,-3.01,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1988,61.4,-0.13,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1989,36.1,2.38,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1990,25.2,3.88,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1991,65,1.14,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1992,42.9,2.54,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1993,54,1.71,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1994,28.4,2.86,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1995,31.5,-1.11,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1996,50.9,-1.98,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1997,30.7,-0.93,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1998,44,1.03,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1999,31.5,2.25,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2000,34.9,1.18,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2001,39.7,-1.91,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2002,45.9,1,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2003,27.8,-0.09,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2004,26.8,0.7,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2005,39.9,-1.35,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2006,31.2,-0.2,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2007,26.8,1.35,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2008,40.7,1.72,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2009,41,0.72,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2010,41.7,-5.96,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2011,79.8,2.95,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2012,51.8,-0.25,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2013,59.5,0.9,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2014,81.3,2.97,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
2015,47.5,4.09,Piz Corvatsch,COV,3302,Engadine,46.42,9.82
1981,37.6,-0.55,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1982,45.1,2.63,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1983,40.9,0.38,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1984,40.4,2.17,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1985,69.8,-3.09,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1986,44.5,3.14,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1987,38.6,-3.01,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1988,55.4,-0.13,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1989,27.4,2.38,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1990,44.8,3.88,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1991,57.6,1.14,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1992,38.1,2.54,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1993,50.2,1.71,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1994,49.6,2.86,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1995,46.7,-1.11,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1996,48.4,-1.98,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1997,35,-0.93,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1998,33.7,1.03,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1999,49.4,2.25,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2000,53.5,1.18,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2001,61.7,-1.91,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2002,47.1,1,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2003,56.4,-0.09,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2004,56.3,0.7,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2005,55.4,-1.35,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2006,34.2,-0.2,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2007,40,1.35,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2008,41.7,1.72,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2009,37.3,0.72,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2010,33.1,-5.96,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2011,58.4,2.95,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2012,39.4,-0.25,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2013,31.3,0.9,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2014,50.4,2.97,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
2015,31,4.09,Davos,DAV,1594,Northern and central Grisons,46.81,9.84
1981,48.1,-0.55,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1982,55,2.63,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1983,66,0.38,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1984,66.8,2.17,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1985,70.9,-3.09,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1986,41.3,3.14,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1987,71.6,-3.01,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1988,48.7,-0.13,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1989,58.2,2.38,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1990,40.6,3.88,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1991,71.5,1.14,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1992,50.2,2.54,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1993,55.5,1.71,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1994,45.8,2.86,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1995,64.8,-1.11,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1996,74.8,-1.98,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1997,44.1,-0.93,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1998,72.9,1.03,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1999,42.2,2.25,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2000,58.9,1.18,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2001,59.5,-1.91,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2002,91.2,1,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2003,70,-0.09,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2004,45,0.7,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2005,48.2,-1.35,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2006,36.1,-0.2,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2007,55.5,1.35,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2008,68.8,1.72,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2009,74.2,0.72,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2010,46.1,-5.96,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2011,59.3,2.95,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2012,64.8,-0.25,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2013,69.8,0.9,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2014,84.1,2.97,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
2015,42.5,4.09,Disentis.Sedrun,DIS,1197,Northern and central Grisons,46.71,8.85
1981,75.2,-0.55,La Dole,DOL,1670,Western Jura,46.42,6.1
1982,52.3,2.63,La Dole,DOL,1670,Western Jura,46.42,6.1
1983,73.3,0.38,La Dole,DOL,1670,Western Jura,46.42,6.1
1984,42.7,2.17,La Dole,DOL,1670,Western Jura,46.42,6.1
1985,37.9,-3.09,La Dole,DOL,1670,Western Jura,46.42,6.1
1986,41.3,3.14,La Dole,DOL,1670,Western Jura,46.42,6.1
1987,44.6,-3.01,La Dole,DOL,1670,Western Jura,46.42,6.1
1988,69.6,-0.13,La Dole,DOL,1670,Western Jura,46.42,6.1
1989,33.2,2.38,La Dole,DOL,1670,Western Jura,46.42,6.1
1990,65.8,3.88,La Dole,DOL,1670,Western Jura,46.42,6.1
1991,57.9,1.14,La Dole,DOL,1670,Western Jura,46.42,6.1
1992,52.3,2.54,La Dole,DOL,1670,Western Jura,46.42,6.1
1993,67.2,1.71,La Dole,DOL,1670,Western Jura,46.42,6.1
1994,54.9,2.86,La Dole,DOL,1670,Western Jura,46.42,6.1
1995,59.2,-1.11,La Dole,DOL,1670,Western Jura,46.42,6.1
1996,58.4,-1.98,La Dole,DOL,1670,Western Jura,46.42,6.1
1997,63.3,-0.93,La Dole,DOL,1670,Western Jura,46.42,6.1
1998,67.9,1.03,La Dole,DOL,1670,Western Jura,46.42,6.1
1999,46.2,2.25,La Dole,DOL,1670,Western Jura,46.42,6.1
2000,49,1.18,La Dole,DOL,1670,Western Jura,46.42,6.1
2001,51.7,-1.91,La Dole,DOL,1670,Western Jura,46.42,6.1
2002,61.5,1,La Dole,DOL,1670,Western Jura,46.42,6.1
2003,51.1,-0.09,La Dole,DOL,1670,Western Jura,46.42,6.1
2004,74.7,0.7,La Dole,DOL,1670,Western Jura,46.42,6.1
2005,28.7,-1.35,La Dole,DOL,1670,Western Jura,46.42,6.1
2006,45.6,-0.2,La Dole,DOL,1670,Western Jura,46.42,6.1
2007,67.4,1.35,La Dole,DOL,1670,Western Jura,46.42,6.1
2008,67.8,1.72,La Dole,DOL,1670,Western Jura,46.42,6.1
2009,41.2,0.72,La Dole,DOL,1670,Western Jura,46.42,6.1
2010,53.8,-5.96,La Dole,DOL,1670,Western Jura,46.42,6.1
2011,43.5,2.95,La Dole,DOL,1670,Western Jura,46.42,6.1
2012,47.5,-0.25,La Dole,DOL,1670,Western Jura,46.42,6.1
2013,48.5,0.9,La Dole,DOL,1670,Western Jura,46.42,6.1
2014,50,2.97,La Dole,DOL,1670,Western Jura,46.42,6.1
2015,85.8,4.09,La Dole,DOL,1670,Western Jura,46.42,6.1
1983,50.7,0.38,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1984,58,2.17,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1985,35.6,-3.09,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1986,43.6,3.14,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1987,52.5,-3.01,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1988,41.5,-0.13,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1989,55.3,2.38,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1990,47.8,3.88,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1991,81.6,1.14,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1992,34.6,2.54,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1993,49.9,1.71,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1994,37,2.86,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1995,44.3,-1.11,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1996,56.5,-1.98,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1997,48.4,-0.93,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1998,37.8,1.03,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1999,49.1,2.25,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2000,63.9,1.18,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2001,39.6,-1.91,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2002,79.8,1,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2003,49.5,-0.09,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2004,40.8,0.7,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2005,88.1,-1.35,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2006,49.1,-0.2,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2007,45.7,1.35,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2008,65.1,1.72,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2009,55,0.72,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2010,51.2,-5.96,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2011,73,2.95,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2012,39.2,-0.25,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2013,74.9,0.9,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2014,56.8,2.97,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
2015,48.5,4.09,Engelberg,ENG,1036,Central Alpine north slope,46.82,8.41
1987,40.1,-3.01,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1988,50.7,-0.13,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1989,46.7,2.38,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1990,25.5,3.88,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1991,45.5,1.14,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1992,27,2.54,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1993,36.1,1.71,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1994,53.6,2.86,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1995,36,-1.11,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1996,28.2,-1.98,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1997,35.3,-0.93,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1998,29.4,1.03,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1999,34.3,2.25,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2000,62.8,1.18,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2001,42.5,-1.91,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2002,53.6,1,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2003,25.5,-0.09,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2004,34,0.7,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2005,24.2,-1.35,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2006,28.6,-0.2,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2007,54.9,1.35,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2008,28.2,1.72,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2009,48.6,0.72,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2010,41.5,-5.96,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2011,37.4,2.95,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2012,24.3,-0.25,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2013,30.8,0.9,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2014,49,2.97,Evolene.Villa,EVO,1825,Valais,46.11,7.51
2015,28.6,4.09,Evolene.Villa,EVO,1825,Valais,46.11,7.51
1981,32.9,-0.55,Fahy,FAH,596,Eastern Jura,47.42,6.94
1982,45.6,2.63,Fahy,FAH,596,Eastern Jura,47.42,6.94
1983,47,0.38,Fahy,FAH,596,Eastern Jura,47.42,6.94
1984,29.2,2.17,Fahy,FAH,596,Eastern Jura,47.42,6.94
1985,35.7,-3.09,Fahy,FAH,596,Eastern Jura,47.42,6.94
1986,41,3.14,Fahy,FAH,596,Eastern Jura,47.42,6.94
1987,53.5,-3.01,Fahy,FAH,596,Eastern Jura,47.42,6.94
1988,46.4,-0.13,Fahy,FAH,596,Eastern Jura,47.42,6.94
1989,40,2.38,Fahy,FAH,596,Eastern Jura,47.42,6.94
1990,36.7,3.88,Fahy,FAH,596,Eastern Jura,47.42,6.94
1991,38.1,1.14,Fahy,FAH,596,Eastern Jura,47.42,6.94
1992,41,2.54,Fahy,FAH,596,Eastern Jura,47.42,6.94
1993,35.4,1.71,Fahy,FAH,596,Eastern Jura,47.42,6.94
1994,37.8,2.86,Fahy,FAH,596,Eastern Jura,47.42,6.94
1995,42.8,-1.11,Fahy,FAH,596,Eastern Jura,47.42,6.94
1996,47,-1.98,Fahy,FAH,596,Eastern Jura,47.42,6.94
1997,36.5,-0.93,Fahy,FAH,596,Eastern Jura,47.42,6.94
1998,32.1,1.03,Fahy,FAH,596,Eastern Jura,47.42,6.94
1999,54,2.25,Fahy,FAH,596,Eastern Jura,47.42,6.94
2000,28.5,1.18,Fahy,FAH,596,Eastern Jura,47.42,6.94
2001,32.4,-1.91,Fahy,FAH,596,Eastern Jura,47.42,6.94
2002,35.4,1,Fahy,FAH,596,Eastern Jura,47.42,6.94
2003,38.4,-0.09,Fahy,FAH,596,Eastern Jura,47.42,6.94
2004,56.6,0.7,Fahy,FAH,596,Eastern Jura,47.42,6.94
2005,61.2,-1.35,Fahy,FAH,596,Eastern Jura,47.42,6.94
2006,51.8,-0.2,Fahy,FAH,596,Eastern Jura,47.42,6.94
2007,73.2,1.35,Fahy,FAH,596,Eastern Jura,47.42,6.94
2008,42.3,1.72,Fahy,FAH,596,Eastern Jura,47.42,6.94
2009,36.2,0.72,Fahy,FAH,596,Eastern Jura,47.42,6.94
2010,73.2,-5.96,Fahy,FAH,596,Eastern Jura,47.42,6.94
2011,26.4,2.95,Fahy,FAH,596,Eastern Jura,47.42,6.94
2012,42.3,-0.25,Fahy,FAH,596,Eastern Jura,47.42,6.94
2013,37.4,0.9,Fahy,FAH,596,Eastern Jura,47.42,6.94
2014,32.7,2.97,Fahy,FAH,596,Eastern Jura,47.42,6.94
2015,31.4,4.09,Fahy,FAH,596,Eastern Jura,47.42,6.94
1981,38.6,-0.55,Bullet.La Fretaz,FRE,1205,Western Jura,46.84,6.58
1982,43.2,2.63,Bullet.La Fretaz,FRE,1205,Western Jura,46.84,6.58
1983,59.6,0.38,Bullet.La Fretaz,FRE,1205,Western Jura,46.84,6.58
1984,25.8,2.17,Bullet.La Fretaz,FRE,1205,Western Jura,46.84,6.58
1985,45.4,-3.09,Bullet.La Fretaz,FRE,1205,Western Jura,46.84,6.58
1986,38.9,3.14,Bullet.La Fretaz,FRE,1205,Western Jura,46.84,6.58
1987,107,-3.01,Bullet.La Fretaz,FRE,1205,Western Jura,46.84,6.58
1988,43.2,-0.13,Bullet.La Fretaz,FRE,1205,Western Jura,46.84,6.58
1989,40.3,2.38,Bullet.La Fretaz,FRE,1205,Western Jura,46.84,6.58
